181,1,359.75,43.96,11.59,6.29,0.71,-1,-1,-1
221,1,359.49,15.55,13.64,7.42,0.66,-1,-1,-1
321,1,582.15,242.46,30.58,8.27,0.38,-1,-1,-1
341,1,451.11,235.59,27.63,7.64,0.41,-1,-1,-1
361,1,280.87,232.44,27.40,9.94,0.41,-1,-1,-1
561,1,143.75,201.65,42.36,11.95,0.35,-1,-1,-1
601,1,297.59,127.86,22.50,8.96,0.31,-1,-1,-1
641,1,360.48,115.04,7.25,3.82,0.32,-1,-1,-1
661,1,241.64,157.04,20.53,5.12,0.35,-1,-1,-1
681,1,224.34,173.88,23.82,8.94,0.47,-1,-1,-1
701,1,315.75,176.26,24.66,7.88,0.39,-1,-1,-1
741,1,365.49,116.36,20.12,6.15,0.30,-1,-1,-1
761,1,362.24,137.07,22.76,6.15,0.51,-1,-1,-1
801,1,365.03,170.82,22.73,5.79,0.30,-1,-1,-1
961,1,331.09,240.53,13.88,5.65,0.45,-1,-1,-1
1001,1,358.18,159.63,11.38,5.92,0.31,-1,-1,-1
1041,1,342.35,219.21,16.42,5.11,0.36,-1,-1,-1
1101,1,380.57,209.19,24.91,6.03,0.33,-1,-1,-1
1121,1,382.00,207.20,21.87,5.32,0.34,-1,-1,-1
1141,1,381.69,206.20,22.36,5.65,0.37,-1,-1,-1
1161,1,380.94,204.95,23.09,5.72,0.38,-1,-1,-1
1181,1,379.90,204.10,24.23,5.23,0.34,-1,-1,-1
1201,1,380.30,203.66,22.01,5.14,0.31,-1,-1,-1
1201,2,234.87,76.72,14.96,7.56,0.68,-1,-1,-1
1221,2,233.10,68.48,16.01,9.51,0.35,-1,-1,-1
1221,1,378.85,203.23,25.82,5.30,0.31,-1,-1,-1
1241,2,236.86,84.96,15.28,8.81,0.39,-1,-1,-1
1341,1,312.10,203.02,23.05,6.68,0.34,-1,-1,-1
1361,1,383.47,205.05,22.55,6.79,0.40,-1,-1,-1
1441,1,238.89,205.85,21.79,9.25,0.32,-1,-1,-1
1461,1,329.22,207.35,21.38,7.94,0.34,-1,-1,-1
