1,1,93.00,164.12,21.75,10.00,1.00,-1,-1,-1
21,1,132.21,175.58,22.96,8.17,1.00,-1,-1,-1
41,1,125.96,203.70,27.69,11.96,0.99,-1,-1,-1
61,1,129.48,226.00,22.71,9.87,0.98,-1,-1,-1
81,1,188.21,227.64,21.34,9.68,0.98,-1,-1,-1
101,1,254.68,229.60,26.17,11.10,0.99,-1,-1,-1
121,1,315.86,237.29,17.83,8.51,0.99,-1,-1,-1
141,1,325.73,267.40,24.79,9.24,0.99,-1,-1,-1
181,1,287.05,291.10,17.62,8.96,0.99,-1,-1,-1
201,1,268.91,301.33,21.15,10.27,0.99,-1,-1,-1
221,1,263.73,302.88,19.19,8.80,0.99,-1,-1,-1
241,1,263.11,302.75,19.73,9.01,0.99,-1,-1,-1
261,1,264.53,303.76,18.98,8.50,0.99,-1,-1,-1
281,1,263.09,303.52,19.47,8.97,0.99,-1,-1,-1
301,1,252.72,301.37,19.31,9.51,0.99,-1,-1,-1
321,1,242.63,298.68,20.42,9.63,0.98,-1,-1,-1
341,1,224.28,296.64,19.53,9.12,0.99,-1,-1,-1
361,1,191.75,283.16,20.50,9.13,0.98,-1,-1,-1
381,1,158.49,273.35,23.81,10.33,0.99,-1,-1,-1
401,1,148.73,271.66,28.15,11.75,0.99,-1,-1,-1
421,1,146.26,266.70,24.03,9.75,0.98,-1,-1,-1
441,1,139.47,253.80,26.41,11.00,1.00,-1,-1,-1
461,1,132.86,239.85,28.71,11.34,1.00,-1,-1,-1
481,1,122.22,222.48,29.32,12.11,1.00,-1,-1,-1
501,1,106.45,201.40,38.67,13.60,0.95,-1,-1,-1
521,1,91.90,177.76,40.60,10.02,0.99,-1,-1,-1
541,1,77.67,147.87,47.94,12.48,1.00,-1,-1,-1
561,1,53.29,120.52,57.59,22.66,1.00,-1,-1,-1
581,1,43.84,190.73,54.63,14.30,1.00,-1,-1,-1
601,1,47.93,242.31,52.78,17.78,0.99,-1,-1,-1
621,1,63.03,249.93,44.90,15.26,0.98,-1,-1,-1
641,1,87.59,268.85,39.93,14.42,1.00,-1,-1,-1
661,1,114.16,285.57,33.46,12.87,1.00,-1,-1,-1
681,1,140.24,296.44,28.64,11.04,0.99,-1,-1,-1
701,1,160.08,292.18,26.40,11.00,0.99,-1,-1,-1
721,1,174.02,288.19,22.74,10.10,0.99,-1,-1,-1
741,1,182.99,281.59,21.27,9.80,0.99,-1,-1,-1
761,1,188.73,278.89,22.03,10.50,0.99,-1,-1,-1
781,1,191.24,278.74,22.08,9.60,1.00,-1,-1,-1
801,1,191.08,269.87,22.70,9.96,1.00,-1,-1,-1
821,1,188.61,255.76,22.37,9.89,0.99,-1,-1,-1
841,1,180.51,238.22,23.69,9.72,0.99,-1,-1,-1
