541,1,187.91,3.59,17.17,7.03,0.42,-1,-1,-1
621,1,151.24,175.34,40.48,8.70,0.40,-1,-1,-1
701,1,139.27,57.37,28.24,7.47,0.30,-1,-1,-1
721,1,104.49,49.95,29.27,8.08,0.33,-1,-1,-1
761,1,174.60,47.85,32.13,8.80,0.57,-1,-1,-1
841,1,427.72,11.18,30.92,13.07,0.63,-1,-1,-1
881,1,21.25,70.23,17.88,5.50,0.41,-1,-1,-1
901,1,408.08,40.26,31.83,9.20,0.51,-1,-1,-1
921,1,153.01,66.91,23.20,7.47,0.55,-1,-1,-1
941,1,368.03,49.64,29.53,9.34,0.31,-1,-1,-1
981,1,366.45,39.54,30.72,9.24,0.36,-1,-1,-1
1021,1,309.85,7.36,34.49,13.91,0.73,-1,-1,-1
1041,1,299.19,55.49,24.01,7.85,0.35,-1,-1,-1
1101,1,216.35,37.81,40.12,12.35,0.63,-1,-1,-1
1121,1,222.01,68.60,37.28,11.10,0.56,-1,-1,-1
1141,1,223.04,108.90,34.97,9.47,0.52,-1,-1,-1
1161,1,217.14,139.84,42.09,8.89,0.47,-1,-1,-1
1221,1,345.28,176.75,39.88,9.08,0.31,-1,-1,-1
1421,1,46.86,112.70,19.73,6.28,0.32,-1,-1,-1
1481,1,197.40,88.14,16.38,6.70,0.39,-1,-1,-1
1521,1,397.27,50.67,17.12,5.15,0.33,-1,-1,-1
1561,1,323.70,42.62,15.07,5.80,0.49,-1,-1,-1
1601,1,117.05,22.15,19.08,8.77,0.33,-1,-1,-1
1621,1,35.07,14.28,18.04,9.20,0.75,-1,-1,-1
1741,1,11.01,52.52,16.67,7.41,0.48,-1,-1,-1
1881,1,146.54,168.44,23.86,5.69,0.37,-1,-1,-1
1901,1,57.35,171.44,24.79,5.70,0.34,-1,-1,-1
1941,1,184.43,101.38,11.80,4.23,0.36,-1,-1,-1
1961,1,79.71,106.63,16.71,4.68,0.42,-1,-1,-1
